====================('127.0.0.1', 10086)====================
('127.0.0.1', 10086)  服务器:成功发送数据0
('127.0.0.1', 10086)  客户端:收到数据0
('127.0.0.1', 10086)  客户端:窗口滑动到1
('127.0.0.1', 10086)  客户端:发送ACK0
('127.0.0.1', 10086)  服务器:成功发送数据1
('127.0.0.1', 10086)  服务器:收到有用ACK0
('127.0.0.1', 10086)  服务器:窗口滑动到1
('127.0.0.1', 10086)  服务器:成功发送数据2
('127.0.0.1', 10086)  客户端:收到数据2
('127.0.0.1', 10086)  客户端:发送ACK2
('127.0.0.1', 10086)  服务器:成功发送数据3
('127.0.0.1', 10086)  服务器:收到有用ACK1
('127.0.0.1', 10086)  服务器:窗口滑动到2
('127.0.0.1', 10086)  服务器:成功发送数据4
('127.0.0.1', 10086)  客户端:收到数据3
('127.0.0.1', 10086)  客户端:发送ACK3
('127.0.0.1', 10086)  服务器:成功发送数据5
('127.0.0.1', 10086)  服务器:收到有用ACK2
('127.0.0.1', 10086)  服务器:窗口滑动到3
('127.0.0.1', 10086)  服务器:成功发送数据6
('127.0.0.1', 10086)  客户端:收到数据4
('127.0.0.1', 10086)  客户端:发送ACK4
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  服务器:收到有用ACK4
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  服务器:收到有用ACK6
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  【超时】--开始重传
('127.0.0.1', 10086)  数据已重发:3
('127.0.0.1', 10086)  【超时】--开始重传
('127.0.0.1', 10086)  数据已重发:5
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  客户端:收到数据1
('127.0.0.1', 10086)  客户端:窗口滑动到2
('127.0.0.1', 10086)  客户端:窗口滑动到3
('127.0.0.1', 10086)  客户端:窗口滑动到4
('127.0.0.1', 10086)  客户端:窗口滑动到5
('127.0.0.1', 10086)  客户端:发送ACK1
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  服务器:收到有用ACK3
('127.0.0.1', 10086)  服务器:窗口滑动到4
('127.0.0.1', 10086)  服务器:窗口滑动到5
('127.0.0.1', 10086)  服务器:成功发送数据7
('127.0.0.1', 10086)  服务器:收到有用ACK5
('127.0.0.1', 10086)  服务器:窗口滑动到6
('127.0.0.1', 10086)  服务器:窗口滑动到7
('127.0.0.1', 10086)  服务器:成功发送数据8
('127.0.0.1', 10086)  客户端:收到数据5
('127.0.0.1', 10086)  客户端:窗口滑动到6
('127.0.0.1', 10086)  客户端:发送ACK5
('127.0.0.1', 10086)  服务器:成功发送数据9
('127.0.0.1', 10086)  服务器:收到有用ACK8
('127.0.0.1', 10086)  服务器:成功发送数据10
('127.0.0.1', 10086)  客户端:收到数据6
('127.0.0.1', 10086)  客户端:窗口滑动到7
('127.0.0.1', 10086)  客户端:发送ACK6
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  客户端:收到数据7
('127.0.0.1', 10086)  客户端:窗口滑动到8
('127.0.0.1', 10086)  客户端:发送ACK7
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  服务器:收到有用ACK9
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  客户端:收到数据8
('127.0.0.1', 10086)  客户端:窗口滑动到9
('127.0.0.1', 10086)  客户端:发送ACK8
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  服务器:收到有用ACK10
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  客户端:收到数据9
('127.0.0.1', 10086)  客户端:窗口滑动到10
('127.0.0.1', 10086)  客户端:发送ACK9
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  客户端:收到数据10
('127.0.0.1', 10086)  客户端:窗口滑动到11
('127.0.0.1', 10086)  客户端:发送ACK10
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  客户端:收到数据11
('127.0.0.1', 10086)  客户端:窗口滑动到12
('127.0.0.1', 10086)  客户端:发送ACK11
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  客户端:收到数据13
('127.0.0.1', 10086)  客户端:发送ACK13
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  客户端:收到数据14
('127.0.0.1', 10086)  客户端:发送ACK14
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  客户端:收到数据15
('127.0.0.1', 10086)  客户端:发送ACK15
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  【超时】--开始重传
('127.0.0.1', 10086)  数据已重发:7
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  服务器:收到有用ACK7
('127.0.0.1', 10086)  服务器:窗口滑动到8
('127.0.0.1', 10086)  服务器:窗口滑动到9
('127.0.0.1', 10086)  服务器:窗口滑动到10
('127.0.0.1', 10086)  服务器:窗口滑动到11
('127.0.0.1', 10086)  服务器:成功发送数据11
('127.0.0.1', 10086)  服务器:收到有用ACK11
('127.0.0.1', 10086)  服务器:窗口滑动到12
('127.0.0.1', 10086)  服务器:成功发送数据12
('127.0.0.1', 10086)  服务器:收到有用ACK12
('127.0.0.1', 10086)  服务器:窗口滑动到13
('127.0.0.1', 10086)  服务器:成功发送数据13
('127.0.0.1', 10086)  服务器:收到有用ACK13
('127.0.0.1', 10086)  服务器:窗口滑动到14
